,CompanyName,CIN_Number,gst
168,MULPURI FOODS AND FEEDS PRIVATE LIMITED   ,U15400AP2009PTC064940,37AAGCM2045J1ZF
169,PATTABHI AGRO FOODS PRIVATE LIMITED - Pattabhi Agro Foods,U15312AP2005PTC047759,37AADCP7270P2ZP
170,YARLAGADDA EXPORTS PRIVATE LIMITED   ,U15312AP1990PTC011885,37AAACY1808K1Z6
171,SRI LALITHA ENTERPRISES INDUSTRIES PRIVATE LIMITED - Sri Lalitha Enterprises,U15311AP2004PTC044806,37AAKCS3233N1ZX
172,KANAKADURGA AGRO OIL PRODUCTS PRIVATE LIMITED - Kanakadurga Agro Oil Products,U15311AP1985PTC005431,37AAACK9345H1ZB
173,SANDHYA MARINES LIMITED   ,U05004AP1987PLC007578,37AADCS1423K1ZE
174,SAM AGRI VENTURES LIMITED   ,U01403AP2012PLC084988,37AASCS4453J1ZP
175,DEVI SEA FOODS LIMITED - Devi Sea Foods,U15122AP1992PLC094924,33AABCD0248B1ZH
176,DEVI FISHERIES LIMITED - DEVI FISHERIES,U05005AP1997PLC027100,37AAACD7852Q1ZZ
177,SAI MARINE EXPORTS PRIVATE LIMITED   ,U05005AP1995PTC019973,37AACCS4237L1Z3
178,ANANDA AQUA EXPORTS PRIVATE LIMITED   ,U05005AP1993PTC015971,37AAGCA1156Q1ZB
179,LINERS INDIA LIMITED   ,U99999AP1986PLC006402,36AAACL3810C1Z4
180,DELTA PAPER MILLS LTD - Delta Paper Mills,U99999AP1975PLC001891,37AAACD6022C1Z8
181,AVANTI FROZEN FOODS PRIVATE LIMITED - Avanti Frozen Foods,U05000AP2015PTC096509,37AANCA3928K2Z7
182,AVANTHI WAREHOUSING SERVICES PRIVATE LIMITED - Avanthi,U63022AP1997PTC026378,36AADCA1884C1ZY
183,TODAY'S HEALTHCARE INDIA PRIVATE LIMITED   ,U85100AP2009PTC062828,37AADCT1211A2Z3
184,KIMS HOSPITALS PRIVATE LIMITED   ,U85110AP2014PTC095812,06AAFCK4702M1ZH
185,NARAYANADRI HOSPITALS AND RESEARCH INSTITUTE PRIVATE LIMITED - Narayanadri hospital,U85110AP2011PTC076667,37AADCN7662F1Z9
186,CHALASANI HOSPITALS PRIVATE LIMITED   ,U85110AP2010PTC068262,37AAECC0005G1ZA
187,VINTERLA LOGISTICS PRIVATE LIMITED   ,U63030AP2013PTC091901,37AAECV6815F1Z7
188,LOGISTICSNOW PRIVATE LIMITED - LogisticsNow,U63030AP2016PTC103161,27AADCL1378C1ZP
189,ARUNODAYA HOSPITALS PRIVATE LIMITED - ARUNODAYA,U85110AP2008PTC058016,37AAHCA1238L2ZK
190,SKYFI EDUCATION LABS PRIVATE LIMITED   ,U80904AP2013PTC085335,29AASCS5790G1ZJ
191,SURAKSHA HEALTH PARK PRIVATE LIMITED   ,U85100AP2012PTC082840,37AASCS0051Q1ZP
192,KALA HOSPITALS PRIVATE LIMITED   ,U85110AP2005PTC046312,37AACCK9081C1ZI
193,SEVENHILLS HEALTHCARE PRIVATE LIMITED   ,U85110AP2004PTC043050,27AAICS2229N1ZY
194,LAZARUS HOSPITALS PRIVATE LIMITED - Lazarus Hospitals,U85110AP2000PTC035186,37AAACL7090G2ZD
195,BHIMAVARAM HOSPITALS LIMITED   ,U85110AP1998PLC029986,37AACCB0072G1Z2
196,EUNIMART MULTICHANNEL PRIVATE LIMITED - EUNIMART,U74999AP2016PTC103159,36AAECE2557R1Z2
197,LEPL PROJECTS LIMITED   ,U74999AP1996PLC023572,08AAACL8700F1ZQ
198,GVK INDUSTRIES LIMITED - GVK Industries,U74999AP1992PLC014388,37AAACG7499J1ZZ
199,ANRAK ALUMINIUM LIMITED   ,U74999AP2007PLC053278,37AAGCA2333M1ZM
200,PRAKASH ARTS PRIVATE LIMITED   ,U74300AP2002PTC039182,29AADCP8835C1Z9
201,SEMBMARINE KAKINADA LIMITED   ,U74900AP2009PLC104176,37AANCS5863P1ZA
202,PARTHA DENTAL CARE INDIA PRIVATE LIMITED   ,U74900AP2007PTC054710,36AAECP6365N1ZT
203,MGRM MEDICARE LIMITED   ,U74899AP1994PLC063491,36AAACM4833A1ZY
204,ACTIMUS BIOSCIENCES PRIVATE LIMITED   ,U74140AP2004PTC042512,37AACCT1298A2ZH
205,ARDEE TECHNOLOGIES PRIVATE LIMITED   ,U74140AP1987PTC007843,27AABCA4800A1ZH
206,APEX ENCON PROJECTS PRIVATE LIMITED   ,U74210AP2004PTC043016,08AAFCA1196H1ZO
207,VASAVI POWER SERVICES PRIVATE LIMITED   ,U74210AP2002PTC038656,33AABCV3740L1ZB
